tool,target,vuln_id,severity,package_name,installed_version,fix_state,fixed_version
trivy,tldr-app:ci-build (debian 13.4),CVE-2011-3374,LOW,apt,3.0.3,affected,
trivy,tldr-app:ci-build (debian 13.4),TEMP-0841856-B18BAF,LOW,bash,5.2.37-2+b8,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2022-0563,LOW,bsdutils,1:2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-14104,LOW,bsdutils,1:2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-3184,LOW,bsdutils,1:2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2017-18018,LOW,coreutils,9.7-3,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-5278,LOW,coreutils,9.7-3,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2011-3374,LOW,libapt-pkg7.0,3.0.3,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2022-0563,LOW,libblkid1,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-14104,LOW,libblkid1,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-3184,LOW,libblkid1,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-4437,MEDIUM,libc-bin,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-4438,MEDIUM,libc-bin,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2010-4756,LOW,libc-bin,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2018-20796,LOW,libc-bin,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2019-1010023,LOW,libc-bin,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2019-1010024,LOW,libc-bin,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2019-1010025,LOW,libc-bin,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2019-9192,LOW,libc-bin,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-4437,MEDIUM,libc6,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-4438,MEDIUM,libc6,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2010-4756,LOW,libc6,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2018-20796,LOW,libc6,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2019-1010023,LOW,libc6,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2019-1010024,LOW,libc6,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2019-1010025,LOW,libc6,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2019-9192,LOW,libc6,2.41-12+deb13u2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2022-0563,LOW,liblastlog2-2,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-14104,LOW,liblastlog2-2,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-3184,LOW,liblastlog2-2,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2022-0563,LOW,libmount1,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-14104,LOW,libmount1,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-3184,LOW,libmount1,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-69720,HIGH,libncursesw6,6.5+20250216-2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-6141,LOW,libncursesw6,6.5+20250216-2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2022-0563,LOW,libsmartcols1,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-14104,LOW,libsmartcols1,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-3184,LOW,libsmartcols1,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2021-45346,LOW,libsqlite3-0,3.46.1-7+deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-70873,LOW,libsqlite3-0,3.46.1-7+deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-2673,LOW,libssl3t64,3.5.5-1~deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-29111,HIGH,libsystemd0,257.9-1~deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-4105,MEDIUM,libsystemd0,257.9-1~deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2013-4392,LOW,libsystemd0,257.9-1~deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2023-31437,LOW,libsystemd0,257.9-1~deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2023-31438,LOW,libsystemd0,257.9-1~deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2023-31439,LOW,libsystemd0,257.9-1~deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-69720,HIGH,libtinfo6,6.5+20250216-2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-6141,LOW,libtinfo6,6.5+20250216-2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-29111,HIGH,libudev1,257.9-1~deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-4105,MEDIUM,libudev1,257.9-1~deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2013-4392,LOW,libudev1,257.9-1~deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2023-31437,LOW,libudev1,257.9-1~deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2023-31438,LOW,libudev1,257.9-1~deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2023-31439,LOW,libudev1,257.9-1~deb13u1,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2022-0563,LOW,libuuid1,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-14104,LOW,libuuid1,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-3184,LOW,libuuid1,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2022-0563,LOW,login,1:4.16.0-2+really2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-14104,LOW,login,1:4.16.0-2+really2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-3184,LOW,login,1:4.16.0-2+really2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2007-5686,LOW,login.defs,1:4.17.4-2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2024-56433,LOW,login.defs,1:4.17.4-2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2022-0563,LOW,mount,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-14104,LOW,mount,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-3184,LOW,mount,2.41-5,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-69720,HIGH,ncurses-base,6.5+20250216-2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-6141,LOW,ncurses-base,6.5+20250216-2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-69720,HIGH,ncurses-bin,6.5+20250216-2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2025-6141,LOW,ncurses-bin,6.5+20250216-2,affected,
trivy,tldr-app:ci-build (debian 13.4),CVE-2026-2673,LOW,openssl,3.5.5-1~deb13u1,affected,
